code,imgid,pred,keyword,strong,product_name_text,generic_name_text
0018787931356,1,skincare,savon,True,Savon Bio Multi-usage à La Menthe,
0018787943304,1,skincare,savon,True,Savon Liquide Bio à La Menthe - Dr Bronner,
0018787943359,2,skincare,savon,True,Savon De Castille Menthe Poivree,
0020714001100,1,makeup,bronzer,True,Face bronzer,
0062400195984,1,skincare,nettoyant,True,Nettoyant en profondeur au charbon pour les pores,
0079245851715,1,makeup,lip gloss,True,sparitual Lip Gloss,
0086800100393,1,skincare,sunscreen,True,Ultra sheer body mist sunscreen,
0180551000411,1,skincare,sunscreen,True,FACE & BODY SPF 27 SUNSCREEN ,
0615908424874,1,haircare,hair oil,True,S Factor True Lasting Colour Hair Oil 3.4oz,
0626232140972,1,skincare,hand soap,True,Natural hand soap,
0635494310207,1,skincare,serum,True,Skinceuticals - Serum 10,
0651986101207,1,makeup,lipstick,True,Metallic Sparkle Lipstick,
0651986502882,1,makeup,gloss,True,Gloss magic effet,
0667534781098,1,skincare,hand cream,True,Nourishing hand cream,
0688047130265,1,haircare,conditioner,True,not your mother's beach babe conditioner,
0697045150755,1,skincare,hand cream,True,Ahava Mineral Hand Cream 5.1 Oz.,
0718334337074,1,skincare,essence,True,Shampoing Framboise - 237 ML - Desert Essence,
0724742010133,2,haircare,shampoo,True,Hawaiin Shampoo,
0735303381050,4,skincare,deodorant,True,soft & dri deodorant,
0738678240755,3,skincare,body wash,True,American Crew Classic Body Wash,
0751672010520,1,skincare,cleanser,True,Foaming Facial Cleanser,
0764302231042,1,haircare,shampoo,True,INTENSIVE HYDRATION SHAMPOO,
0764560540023,1,skincare,sheet mask,True,Cranberry & Apple Sheet Mask,
0809280134869,1,skincare,nettoyant,True,Crème nettoyante au soja,
0815151024573,1,haircare,conditioner,True,Amika Bust Your Brass Cool Blonde Conditioner Sea Buckthorn Berry (Obliphica),
0815921017101,1,haircare,shampoo,True,Volumising shampoo,
0815921017118,1,haircare,conditioner,True,Volumising conditioner,
0816657022872,3,makeup,fond de teint,True,fond de teint satiné longue tenue,
0817574015831,1,haircare,shampoo,True,Amika Triple Rx Shampoo Sea Buckthorn Berry (Obliphica),
0817574018801,2,haircare,conditioner,True,Amika Triple Rx Conditioner Sea Buckthorn Berry (Obliphica),
0817574019808,1,skincare,serum,True,eva nye hair serum,
0817939012475,1,skincare,nettoyant,True,Nettoyant Multi-usages Spray écologique Pamplemousse Rose ? ? Method?,
08227973,2,makeup,bb cream,True,Lift me Up Anti Aging BB Cream 10in1,
0834893002328,1,makeup,foundation,True,Phyto-Pigments Flawless Serum Foundation,
0840749002213,4,makeup,nail polish,True,Nail Polish Remover,
