code,imgid,pred,keyword,strong,product_name_text,generic_name_text
0006412000089,1,skincare,douche,False,huile de douche Daniel jouvence,
0014926163022,1,haircare,volume,False,Kenra volume spray,
0018787931356,1,skincare,savon,True,Savon Bio Multi-usage à La Menthe,
0018787943304,1,skincare,savon,True,Savon Liquide Bio à La Menthe - Dr Bronner,
0018787943359,2,skincare,savon,True,Savon De Castille Menthe Poivree,
0019962085314,1,skincare,déodorant,False,Beauté & Hygiène / Soins Du Corps / Déodorants,
0019962771637,1,skincare,déodorant,False,Beauté & Hygiène / Soins Du Corps / Déodorants,
0020714001100,1,makeup,bronzer,True,Face bronzer,
0022796170040,1,haircare,curl,False,Curl Quench + Coconut Oil Curl Smoothie,
0051800300975,1,skincare,soin visage,False,Soin visage jour et nuit,
0060383783808,1,skincare,hydratant,False,Lotion extra-hydratante,
0062400195984,1,skincare,nettoyant,True,Nettoyant en profondeur au charbon pour les pores,
0075486089870,1,skincare,spf,False,Broad spectrum SPF 30,
0079245851715,1,makeup,lip gloss,True,sparitual Lip Gloss,
0080878044924,2,haircare,curl,False,Curls,
0086800100393,1,skincare,sunscreen,True,Ultra sheer body mist sunscreen,
0124599801708,1,skincare,creme,False,NIVEA Creme,
01320879,1,skincare,hydratant,False,Lait Parfumé Hydratant Comme une Evidence,
0180551000411,1,skincare,sunscreen,True,FACE & BODY SPF 27 SUNSCREEN ,
02712642,1,makeup,contour,False,le soin contour des yeux,
0301871373164,1,skincare,moisturizing,False,CeraVe Moisturizing Cream,
03828504,1,skincare,soothing,False,Soothing rescue cream mask,
03957114,1,skincare,crème,False,Perle de Coton Crème lavante peaux sensibles,
0615908424874,1,haircare,hair oil,True,S Factor True Lasting Colour Hair Oil 3.4oz,
0618059103247,1,haircare,scalp,False,Phytosolba Phytoapaisant Irritated Scalp 200ML,
0626232140972,1,skincare,hand soap,True,Natural hand soap,
0635494310207,1,skincare,serum,True,Skinceuticals - Serum 10,
0651986101207,1,makeup,lipstick,True,Metallic Sparkle Lipstick,
0651986502882,1,makeup,gloss,True,Gloss magic effet,
0667534781098,1,skincare,hand cream,True,Nourishing hand cream,
0688047130265,1,haircare,conditioner,True,not your mother's beach babe conditioner,
0697045150755,1,skincare,hand cream,True,Ahava Mineral Hand Cream 5.1 Oz.,
0718334337074,1,skincare,essence,True,Shampoing Framboise - 237 ML - Desert Essence,
