code,pred,keyword,product_name_text,generic_name_text,manual_label
3760254813166,skincare,savon,Savon visage à l acide hyaluronique,,
6136908000324,skincare,mousse a raser,Mousse a raser,,
3284410053017,skincare,deodorant,Deodorant Peaux Sensibles Bio,,
4005808280797,skincare,body lotion,body lotion,,
4006000069630,skincare,serum,NIVEA Q10 Dual Action Anti-Rimpel Expert Serum,,
27044759,skincare,deodorant,Deodorant Aldi MARE for Men,,
0636874040783,skincare,body lotion,Body Lotion Coconut & Vanilla With Tangerine,,
8800312063319,skincare,lip balm,Fwee glow Smoothie Tintel Lip Balm GN03 Peanut Butter Carmel,,
7501026006609,skincare,savon,Savon de coiffeuse à la rose,,
8809843678719,skincare,clay mask,innisfree volcanic clay mask,,
3574660527452,skincare,body lotion,Deep Moisture Body Lotion,,
0667557985145,skincare,body cream,Ocean Ultimate Hydration Body Cream,,
3337875542654,skincare,essence,Aua hypnotica. Essence botanique défatigante yeux & cils,,
3045206392976,skincare,nettoyant,nettoyant desinfectant,,
3337875903738,skincare,serum,CeraVe Skin Renewing Vitamin C Serum,,
8718951705906,skincare,essence,Palmolive Aroma Essence Restful Sleep Shower Gel,,
0850035298503,skincare,cleanser,Frizz Control Cleanser Shampoo,,
4335619207820,skincare,savon,"Cien

Savon Lait & Miel",,
42417286,skincare,creme mains,Creme Mains,,
8001841501871,skincare,essence,Herbal Essence pure Potent Aloe Bamboo,,
8683130036679,skincare,deodorant,Axe Dark Temptation Erkek Deodorant Sprey 200 ml,,
3660005788616,skincare,nettoyant,Nettoyant démaquillant surgras,,
8809657114960,skincare,serum,Beauty of Joseon Glow Serum,,
3245678068014,skincare,gel douche,Gel douche shampooing à l'amande douce bio,Gel douche shampooing à l'amande douce bio,
8904006303290,skincare,deodorant,Wild Stone Deodorant Soap,,
0019045288632,skincare,body lotion,joy works body lotion,,
0636874040233,skincare,body lotion,Body Lotion Grapefruit & Mint,,
8901548146873,skincare,face wash,Everyuth face wash,,
8719238020958,skincare,hand soap,hand soap citrus,,
8431876282146,skincare,booster,Booster ultra hidratante les cosmetiques nº5 booster plan,,
8016225940689,skincare,essence,Savon naturel à l'huile d'olive et essence de laurier,,
3256225719037,skincare,mousse à raser,mousse à raser,,
3574661652702,skincare,serum,Neutrogena Retinol Boost Serum,,
3250391571673,skincare,lait corps,Lait corps nourrissant peau sèche à très sèche,,
5057566295468,skincare,toner,Revolution Prevent Blemish Targeting Toner,,
6200000000022,skincare,body lotion,Drip Fruit Burst Unisex 400g,Hand & Body Lotion,
4005808700110,skincare,face mask,Nivea face mask,,
8715342026442,skincare,hand cream,Hand cream,,
3661163405865,skincare,deodorant,Natural Vitality Perfumed Deodorant Spray,,
8710447491300,skincare,gel douche,Monsavon Gel Douche Bio Rose Thé Vert,Gel Douche Bio,
0708002401671,skincare,body wash,Faith In Nature Body Wash,,
8901030927980,skincare,deodorant,DEODORANT,,
0893400002084,skincare,lip balm,Peppermint lip balm,,
07484414,skincare,face mask,superdrug tropical cocktail face mask,,
9005800307510,skincare,shower gel,Shower gel,,
0460006013037,skincare,body cream,Trader Joe's Hand & Body Cream,,
4068134115355,skincare,toner,Anti-pickel zink toner spray,,
3660005761855,skincare,gel douche,Gel Douche Parfumé,,
3600550538120,skincare,lait corps,"Lait corps multi-confort, cold cream, nourrit et apaise.",,
3600524242763,skincare,serum,L'Oréal Paris Hyaluron Tint Lip Stain Serum,,
5060130443530,skincare,shower gel,Reviving shower gel,,
7072463113200,skincare,face mask,Natural Basic Face Mask Purifying Bubble,,
4005808113460,skincare,body lotion,Nivea Body Lotion Express Hydration,,
8904035426649,skincare,face wash,ubtan face wash,,
3596710177479,skincare,mousse à raser,Mousse à raser Auchan,,
7630028603117,skincare,body lotion,Body lotion hydratante,,
3600524075453,skincare,serum,Aminexil Anti Haarverlust Serum,,
8997208072590,skincare,sunscreen,Azarine Calm My Acne Sunscreen SPF 35 PA+++,,
4006000068435,skincare,micellar,micellar water,,
4005900644077,skincare,mousse à raser,Mousse à raser,,
0037000800910,skincare,deodorant,Aluminum Free Deodorant Coconut,,
8719189451184,skincare,body lotion,Softening Body Lotion,,
8717163748374,skincare,savon,Msv pdt bio abricot 100g,Savon Pain de Toilette,
5410091777975,skincare,toner,Syoss Color Glaze Deep Brunette Hair Glossing Toner,,
0022600003014,skincare,body cream,Body Cream Hair Remover,,
0808829115659,skincare,body lotion,hemp body lotion,,
3600523434596,skincare,body wash,Hydra Sensitive Body Wash,,
