code,pred,keyword,product_name_text,generic_name_text,manual_label
8809598454354,skincare,soothing,Aloe Soothing Sun Cream,,
0882381080693,skincare,peel,Peeling jeunesse resurfaçant de l'institut,,
3660005111582,skincare,crème,Sebo Végétal - Gel Crème Zéro Défaut,,
3600542500449,skincare,serum,Garnier Hyaluronic Aloe Hydrating Serum 30mL,,
3468080082007,skincare,savon,Savon Surgras extra-doux bio,,
8710444220941,skincare,spf,Sunspray spf 30,,
8436581949841,skincare,mist,Body Mist Active Hydra-tion,,
0020714949549,skincare,hydratant,Gelée hydratante,,
8720181196140,skincare,deodorant,Rexona Men Advanced Protection Quantum Dry Antitranspirant Deodorant Spray,"Met Rexona Men Quantum Dry Deodorant Spray ben je 48 uur lang verzekerd van frisse en schone oksels, hoe warm het buiten ook is.",
4311501666203,skincare,deodorant,Fresh Deodorant,,
0811068019336,skincare,body lotion,Dr Teals Body Lotion,,
8909106025011,skincare,face wash,Lakme perfect radiance face wash,,
0756848467702,skincare,sunscreen,Ultrasun Extreme 50+ sunscreen,,
07787411,skincare,visage,Lait visage douceur,,
4005800016264,skincare,hydrating,dermo PURIFYER adjunctive hydrating care,,
96132487,skincare,crème,Crème contour des yeux,,
8411047143155,skincare,aloe vera,Gel de ducha aloe vera Instituto Español,,
8431876266382,skincare,spf,Bruma solar facial spf50 sun ultimate,,
42417941,skincare,creme,Gesichtssonnencreme,,
4013891804523,skincare,creme,Handcreme,,
3600530670819,skincare,anti-age,Instant Anti-Age Effekt,,
6130730000491,skincare,déodorant,Déodorant pour femme,,
0809280138300,skincare,face wash,Travel Size Sugar Strawberry Exfoliating Face Wash,,
8001117570648,skincare,aloe vera,Crema da barba all'aloe vera,,
7595335002261,skincare,aloe vera,Aloe vera gel,,
6130353000793,skincare,déodorant,Touareg déodorant,,
5057566328814,skincare,cleanser,Salicylic Acid Daily Facial Cleanser,,
20072339,skincare,crème,Crème pour la peau soft  Cien,,
7350070870502,skincare,cleanser,Cetaphil Facial Cleanser,,
0381519180736,skincare,essence,Shampoo Herbal Essences Rose Hips,,
4305615338798,skincare,creme,"Handcreme 5,5% Urea",,
8436611100631,skincare,mist,Body mist,,
