code,imgid,pred,keyword,strong,label_source
00032831,1,makeup,,,hand
0018787788059,1,skincare,,,hand
0018787810545,2,skincare,,,hand
0019962085116,3,skincare,,,hand
0020714434878,1,makeup,,,hand
0022796170156,3,haircare,,,hand
0022796907240,1,haircare,,,hand
0024057328078,2,makeup,,,hand
0024057330590,1,makeup,,,hand
0033000000954,1,makeup,,,hand
0041388002712,1,skincare,,,hand
0050051275131,2,skincare,,,hand
0057800115816,2,skincare,,,hand
0062200825029,3,skincare,,,hand
0062600061065,1,skincare,,,hand
0062600061515,1,skincare,,,hand
0071249289839,2,makeup,,,hand
0074170410532,2,skincare,,,hand
0074170410556,1,makeup,,,hand
0074170410952,1,makeup,,,hand
0076970853861,7,skincare,,,hand
0079400204370,2,haircare,,,hand
0083800034284,2,skincare,,,hand
0085805141943,1,skincare,,,hand
0095008000978,2,makeup,,,hand
0095008006246,1,makeup,,,hand
0095008012872,1,makeup,,,hand
0187132005247,1,haircare,,,hand
0187132005575,6,skincare,,,hand
0200030071050,3,haircare,,,hand
0309975415018,1,makeup,,,hand
0309977755006,1,makeup,,,hand
0309978695325,1,haircare,,,hand
0401035531864,2,skincare,,,hand
04254205,2,skincare,,,hand
0595650556347,1,skincare,,,hand
0621732532197,3,skincare,,,hand
0633911680032,3,haircare,,,hand
0636874120294,2,skincare,,,hand
0663350062854,1,skincare,,,hand
0667536214730,1,skincare,,,hand
0697045153053,1,skincare,,,hand
0697045153060,1,skincare,,,hand
0718334337432,2,skincare,,,hand
0737052259789,1,skincare,,,hand
0738678239940,1,skincare,,,hand
0738678240472,1,skincare,,,hand
07372186,1,skincare,,,hand
0743877050630,1,haircare,,,hand
0761828223308,2,skincare,,,hand
0761828223889,2,skincare,,,hand
0782126003065,7,skincare,,,hand
07812133,2,skincare,,,hand
0792850260009,8,skincare,,,hand
0800897813727,7,makeup,,,hand
0809219600267,3,haircare,,,hand
08058355,1,skincare,,,hand
0816820020711,1,haircare,,,hand
08447825,1,skincare,,,hand
0850629004107,2,haircare,,,hand
0856642006104,1,haircare,,,hand
0870223028675,2,skincare,,,hand
08716491,2,skincare,,,hand
09162008,1,skincare,,,hand
09300507,1,skincare,,,hand
12472482,1,skincare,,,hand
13044211,1,makeup,,,hand
15191010,1,skincare,,,hand
1662937001575,1,skincare,,,hand
1705770101177,1,haircare,,,hand
1705770101184,2,haircare,,,hand
1705770103508,5,skincare,,,hand
2000000000043,1,makeup,,,hand
20095833,2,skincare,,,hand
2016316099995,2,skincare,,,hand
2017017699996,1,skincare,,,hand
20182199,2,skincare,,,hand
2020408899998,1,makeup,,,hand
2020619799995,1,makeup,,,hand
2029204899997,1,makeup,,,hand
20220464,2,haircare,,,hand
20250867,1,haircare,,,hand
20317225,2,skincare,,,hand
20350390,2,skincare,,,hand
20350406,2,skincare,,,hand
20460938,2,skincare,,,hand
20532734,1,skincare,,,hand
20540173,2,skincare,,,hand
20561765,2,haircare,,,hand
20624910,2,skincare,,,hand
20636661,3,skincare,,,hand
20825430,1,haircare,,,hand
2528318287336,1,makeup,,,hand
26020358,2,makeup,,,hand
26023038,1,skincare,,,hand
26023069,2,haircare,,,hand
26023229,2,skincare,,,hand
26023410,1,skincare,,,hand
26023472,2,skincare,,,hand
26023670,2,skincare,,,hand
26023717,2,skincare,,,hand
29023295,1,skincare,,,hand
29024353,1,skincare,,,hand
3001000012502,2,skincare,,,hand
3001000012519,2,skincare,,,hand
30090910,1,makeup,,,hand
30096189,2,skincare,,,hand
3010351730256,1,skincare,,,hand
3010351730263,2,skincare,,,hand
3014230501524,2,haircare,,,hand
3014230560019,1,haircare,,,hand
3015910608817,4,skincare,,,hand
3017563120998,1,skincare,,,hand
3017566000495,2,skincare,,,hand
3017566540014,1,makeup,,,hand
3017568014094,1,makeup,,,hand
3024876050119,5,skincare,,,hand
3031443128003,1,skincare,,,hand
3031449341550,2,makeup,,,hand
3040690661546,2,skincare,,,hand
3040690663823,2,skincare,,,hand
3040690666015,2,makeup,,,hand
3040690666022,2,skincare,,,hand
3040690666206,2,skincare,,,hand
3040690666213,2,skincare,,,hand
3040690666220,2,skincare,,,hand
3040690666237,2,skincare,,,hand
3040690666244,2,skincare,,,hand
3045206501705,2,skincare,,,hand
3045206502009,5,skincare,,,hand
3045206503006,2,skincare,,,hand
3050070004023,2,skincare,,,hand
3052503030111,2,skincare,,,hand
3052503030142,2,skincare,,,hand
3052503030777,1,skincare,,,hand
3052503155104,1,makeup,,,hand
3052503205472,2,skincare,,,hand
3052503230467,1,makeup,,,hand
3052503281315,2,skincare,,,hand
3052503504728,1,skincare,,,hand
3052503506968,1,skincare,,,hand
3052503531281,2,makeup,,,hand
3052503532301,1,makeup,,,hand
3052503533902,1,makeup,,,hand
3052503706283,2,makeup,,,hand
3052503790909,1,makeup,,,hand
3052503791029,1,makeup,,,hand
3052503810393,2,makeup,,,hand
3052503900674,3,makeup,,,hand
3052503901602,3,makeup,,,hand
