code,label,imgid
00032831,makeup,1
0018787788059,skincare,1
0018787810545,skincare,2
0019962085116,skincare,3
0020714434878,makeup,1
0022796170156,haircare,3
0022796907240,haircare,1
0024057328078,makeup,2
0024057330590,makeup,1
0033000000954,makeup,1
0041388002712,skincare,1
0050051275131,skincare,2
0057800115816,skincare,2
0062200825029,skincare,3
0062600061065,skincare,1
0062600061515,skincare,1
0070942303859,skincare,2
0071249289839,makeup,2
0074170410532,skincare,2
0074170410556,makeup,1
0074170410952,makeup,1
0076970853861,skincare,7
0079400204370,haircare,2
0083800034284,skincare,2
0085805141943,skincare,1
0095008000978,makeup,2
0095008006246,makeup,1
0095008012872,makeup,1
0187132005247,haircare,1
0187132005575,skincare,6
0200030071050,haircare,3
0309975415018,makeup,1
0309977755006,makeup,1
0309978695325,haircare,1
0401035531864,skincare,2
04254205,skincare,2
05355570,skincare,2
0595650556347,skincare,1
0621732532197,skincare,3
0633911680032,haircare,3
0636874120294,skincare,2
0663350062854,skincare,1
0667536214730,skincare,1
0697045153053,skincare,1
0697045153060,skincare,1
0718334337432,skincare,2
0737052259789,skincare,1
0738678239940,skincare,1
0738678240472,skincare,1
07372186,skincare,1
0743877050630,haircare,1
0761828223308,skincare,2
0761828223889,skincare,2
0773792450406,skincare,3
0782126003065,skincare,7
07812133,skincare,2
0792850260009,skincare,8
0800897813727,makeup,7
0809219600267,haircare,3
08058355,skincare,1
0816820020711,haircare,1
08447825,skincare,1
0850629004107,haircare,2
0856642006104,haircare,1
0870223028675,skincare,2
08716491,skincare,2
09162008,skincare,1
09300507,skincare,1
12472482,skincare,1
13044211,makeup,1
15191010,skincare,1
15595635,skincare,1
1662937001575,skincare,1
1705770101177,haircare,1
1705770101184,haircare,2
1705770103508,skincare,5
2000000000043,makeup,1
20095833,skincare,2
2016316099995,skincare,2
2017017699996,skincare,1
20182199,skincare,2
2020408899998,makeup,1
2020619799995,makeup,1
2029204899997,makeup,1
20220464,haircare,2
20250867,haircare,1
20317225,skincare,2
20350390,skincare,2
20350406,skincare,2
20460938,skincare,2
20532734,skincare,1
20540173,skincare,2
20561765,haircare,2
20624910,skincare,2
20636661,skincare,3
20825430,haircare,1
2528318287336,makeup,1
26020358,makeup,2
26023038,skincare,1
26023069,haircare,2
26023229,skincare,2
26023410,skincare,1
26023472,skincare,2
26023670,skincare,2
26023717,skincare,2
29023295,skincare,1
29024353,skincare,1
3001000012502,skincare,2
3001000012519,skincare,2
30090910,makeup,1
30096189,skincare,2
3010351730256,skincare,1
3010351730263,skincare,2
3014230002243,skincare,1
3014230501524,haircare,2
3014230560019,haircare,1
3014260096878,skincare,3
3015910608817,skincare,4
3017563120998,skincare,1
3017566000495,skincare,2
3017566540014,makeup,1
3017568014094,makeup,1
3024876050119,skincare,5
3031443128003,skincare,1
3031449341550,makeup,2
3040690661546,skincare,2
3040690663823,skincare,2
3040690666015,makeup,2
3040690666022,skincare,2
3040690666206,skincare,2
3040690666213,skincare,2
3040690666220,skincare,2
3040690666237,skincare,2
3040690666244,skincare,2
3045206501705,skincare,2
3045206502009,skincare,5
3045206503006,skincare,2
3048090040251,skincare,2
3050070004023,skincare,2
3052503030111,skincare,2
3052503030142,skincare,2
3052503030777,skincare,1
3052503155104,makeup,1
3052503205472,skincare,2
3052503230467,makeup,1
3052503281315,skincare,2
3052503504728,skincare,1
3052503506968,skincare,1
3052503531281,makeup,2
3052503532301,makeup,1
3052503533902,makeup,1
3052503706283,makeup,2
3052503790909,makeup,1
3052503791029,makeup,1
