id,input
3516170025660,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3516170025660.jpg
3600542571951,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3600542571951.jpg
8436576506103,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8436576506103.jpg
3600521627402,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\3600521627402.jpg
8594060451084,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8594060451084.jpg
4103040051479,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4103040051479.jpg
3059944026734,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3059944026734.jpg
4550583926700,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4550583926700.jpg
3600550580051,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3600550580051.jpg
8710447473153,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8710447473153.jpg
8719134164183,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8719134164183.jpg
3660005418544,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3660005418544.jpg
4602006362050,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\4602006362050.jpg
8690604380138,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\8690604380138.jpg
5905359800668,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5905359800668.jpg
8432225114392,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8432225114392.jpg
9300830056491,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\9300830056491.jpg
4059729419606,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\4059729419606.jpg
4750832006874,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4750832006874.jpg
5045091051628,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5045091051628.jpg
6132349400563,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\6132349400563.jpg
3700214611258,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3700214611258.jpg
2005040432000,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\2005040432000.jpg
3450270016862,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3450270016862.jpg
4062300421677,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4062300421677.jpg
5060176674684,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\5060176674684.jpg
7500435185691,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\7500435185691.jpg
3600550258301,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3600550258301.jpg
3522930003694,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3522930003694.jpg
8710447246771,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8710447246771.jpg
8021983812475,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8021983812475.jpg
3600531640378,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\3600531640378.jpg
7501007533971,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\7501007533971.jpg
4011609011904,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4011609011904.jpg
4017645028579,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\4017645028579.jpg
4059729231635,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\4059729231635.jpg
4066447106404,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4066447106404.jpg
8681127023633,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8681127023633.jpg
5701943102619,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5701943102619.jpg
7621500114153,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\7621500114153.jpg
5063334011864,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5063334011864.jpg
3474630618435,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3474630618435.jpg
42097976,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\makeup\42097976.jpg
3596710517350,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3596710517350.jpg
8480024553065,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8480024553065.jpg
8008970002859,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8008970002859.jpg
5029053550152,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5029053550152.jpg
4005900691521,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4005900691521.jpg
3760349312772,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3760349312772.jpg
3140100143119,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3140100143119.jpg
8480000441683,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8480000441683.jpg
3182611233019,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3182611233019.jpg
4005900901514,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4005900901514.jpg
4987176335166,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4987176335166.jpg
3251241047966,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3251241047966.jpg
3001000012502,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3001000012502.jpg
3770013899126,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3770013899126.jpg
8025916128084,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8025916128084.jpg
3058320028201,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3058320028201.jpg
